type,manager,institution,branch,address1,address2,address3,city
Gov't Ministries,,Inland Revenue Division,Tunapuna,Administrative Complex,Corner Centenary Street,& Eastern Main Road,TUNAPUNA
Gov't Ministries,,Ministry of Housing and Urban Development,,44-46 South Quay,,,PORT OF SPAIN
Gov't Ministries,,Ministry of Social Development and Family Services,Eleanore Street,Eleanore Street,,,CHAGUANAS
Gov't Ministries,,Ministry of Social Development and Family Services,Henry Street,125 Henry Street,,,PORT OF SPAIN
Gov't Ministries,,Ministry of Social Development and Family Services,St. Vincent Street,55-57 St. Vincent Street,,,PORT OF SPAIN
Gov't Ministries,,Ministry of Social Development and Family Services,St. Vincent Street,39-43 St. Vincent Street,,,PORT OF SPAIN
Gov't Ministries,The Permanent Secretary,Ministry of Education,,St. Vincent Street,,,PORT OF SPAIN
Gov't Ministries,The Permanent Secretary,Ministry of National Security,,Temple Court 1,33 Abercromby Street,,PORT OF SPAIN
Gov't Ministries,The Permanent Secretary,Ministry of Tertiary Education and Skills Training,,Warner Street,,,ST. AUGUSTINE
Insurance,,Sagicor Financial Company,Chaguanas,Corner DeVertueil and Penco Street,,,CHAGUANAS
Insurance,,Sagicor Financial Company,Port of Spain,122 St Vincent Street,,,PORT OF SPAIN
Insurance,,Sagicor Financial Company,San Fernando,Keate Street,,,SAN FERNANDO
Insurance,,The National Insurance Board of Trinidad and Tobago,Arima,National Insurance Board Building,Corner Woodford & Sorzano Street,,ARIMA
Insurance,,The National Insurance Board of Trinidad and Tobago,"Edward Street, Port of Spain",2nd Floor National Insurance Board Building,112 Edward Street,,PORT OF SPAIN
Insurance,,The National Insurance Board of Trinidad and Tobago,"Luis Street, Port of Spain",National Insurance Board Building,4 Luis Street,,PORT OF SPAIN
Insurance,,The National Insurance Board of Trinidad and Tobago,"Queen's Park E, Port of Spain",2nd Floor National Insurance Board Building,14-19 Queen’s Park E,,PORT OF SPAIN
Insurance,,The National Insurance Board of Trinidad and Tobago,San Fernando,National Insurance Board Building,60-620 Lady Hailes Avenue,,SAN FERNANDO
Insurance,,The National Insurance Board of Trinidad and Tobago,Tunapuna,National Insurance Board Building,Eastern Main Road,,TUNAPUNA
Schools,The Manager,Funding and Grants Administration Division,,GATE Department,16 Warner Street,,ST. AUGUSTINE
Schools,The Registrar,Cipriani College of Labour & Co-Operative Studies,,Churchill Roosevelt Highway,,,VALSAYN
Schools,The Senior Assistant Registrar,Office of Graduate Studies and Research,,The University of the West Indies,St Augustine Campus,,ST. AUGUSTINE
Schools,The Senior Assistant Registrar,CTS College/University of Bedfordshire,,120 Southern Main Road Montrose,,,CHAGUANAS
Schools,The Senior Assistant Registrar,SAM Caribbean Limited,,"1,3 & 6 Mc Carthy Street",,,ST. AUGUSTINE
Schools,The Senior Assistant Registrar,SITAL College of Tertiary Education Ltd,,Eastern Main Road,,,TACARIGUA
Schools,,University of The West Indies,,St Augustine Campus,,,ST. AUGUSTINE
Schools,,University of Trinidad and Tobago,Couva,Point Lisas Campus,Esperanza Road,,COUVA
Schools,,University of Trinidad and Tobago,San Fernando,100 Michael Raphael Boulevard,South Park,,SAN FERNANDO
